date,daily_net,stock,yoy,yoy_ma50
2021-02-03,-80.0,5886.1,1865.6,3262.6
2021-02-04,0.0,5886.1,1895.6,3225.4
2021-02-05,0.0,5886.1,1895.6,3192.2
2021-02-06,0.0,5886.1,1895.6,3164.6
2021-02-07,50.0,5936.1,1945.6,3140.9
2021-02-08,10.0,5946.1,1955.6,3117.5
2021-02-09,-30.0,5916.1,1925.6,3091.7
2021-02-10,-80.0,5836.1,2125.6,3068.5
2021-02-11,0.0,5836.1,2125.6,3043.3
2021-02-12,0.0,5836.1,2125.6,3016.4
2021-02-13,0.0,5836.1,2125.6,2988.4
2021-02-14,0.0,5836.1,2125.6,2960.4
2021-02-15,-110.0,5726.1,2015.6,2930.2
2021-02-16,-50.0,5676.1,2665.6,2912.8
2021-02-17,-220.0,5456.1,2665.6,2895.1
2021-02-18,120.0,5576.1,2785.6,2879.3
2021-02-19,-80.0,5496.1,2705.6,2857.3
2021-02-20,10.0,5506.1,2715.6,2831.3
2021-02-21,-50.0,5456.1,2665.6,2801.3
2021-02-22,10.0,5466.1,2675.6,2771.4
2021-02-23,10.0,5476.1,2985.6,2749.8
2021-02-24,10.0,5486.1,2995.6,2730.0
2021-02-25,0.0,5486.1,2995.6,2712.8
2021-02-26,0.0,5486.1,2995.6,2697.8
2021-02-27,-10.0,5476.1,2985.6,2682.4
2021-02-28,0.0,5476.1,2985.6,2667.1
2021-03-01,0.0,5476.1,2985.6,2651.8
2021-03-02,0.0,5476.1,2985.6,2636.8
2021-03-03,0.0,5476.1,2985.6,2621.8
2021-03-04,-10.0,5466.1,2975.6,2606.9
2021-03-05,-10.0,5456.1,2965.6,2599.9
2021-03-06,0.0,5456.1,2965.6,2595.0
2021-03-07,0.0,5456.1,2965.6,2594.0
2021-03-08,0.0,5456.1,2965.6,2593.1
2021-03-09,0.0,5456.1,2965.6,2596.2
2021-03-10,0.0,5456.1,2965.6,2602.8
2021-03-11,0.0,5456.1,2965.6,2605.9
2021-03-12,0.0,5456.1,2965.6,2604.6
2021-03-13,0.0,5456.1,2965.6,2608.1
2021-03-14,0.0,5456.1,2965.6,2616.4
2021-03-15,100.0,5556.1,3065.6,2626.7
2021-03-16,-100.0,5456.1,2865.6,2633.0
2021-03-17,0.0,5456.1,2865.6,2640.9
2021-03-18,0.0,5456.1,2865.6,2650.8
2021-03-19,0.0,5456.1,2865.6,2661.7
2021-03-20,0.0,5456.1,2865.6,2664.6
2021-03-21,0.0,5456.1,2865.6,2663.5
2021-03-22,0.0,5456.1,2865.6,2662.4
2021-03-23,0.0,5456.1,2865.6,2655.4
2021-03-24,0.0,5456.1,2865.6,2665.8
2021-03-25,0.0,5456.1,2865.6,2685.8
2021-03-26,0.0,5456.1,2865.6,2705.2
2021-03-27,0.0,5456.1,2865.6,2724.6
2021-03-28,0.0,5456.1,2865.6,2744.0
2021-03-29,0.0,5456.1,2865.6,2762.4
2021-03-30,0.0,5456.1,2815.6,2779.6
2021-03-31,0.0,5456.1,2795.6,2797.0
2021-04-01,0.0,5456.1,2795.6,2810.4
2021-04-02,0.0,5456.1,2795.6,2823.8
2021-04-03,0.0,5456.1,2795.6,2837.2
2021-04-04,0.0,5456.1,2795.6,2850.6
2021-04-05,-10.0,5446.1,2785.6,2863.8
2021-04-06,0.0,5446.1,2835.6,2880.2
2021-04-07,0.0,5446.1,2855.6,2884.0
2021-04-08,0.0,5446.1,2855.6,2887.8
2021-04-09,0.0,5446.1,2855.6,2889.2
2021-04-10,0.0,5446.1,2855.6,2892.2
2021-04-11,0.0,5446.1,2855.6,2895.0
2021-04-12,10.0,5456.1,2865.6,2899.0
2021-04-13,0.0,5456.1,2865.6,2902.8
2021-04-14,0.0,5456.1,2865.6,2900.4
2021-04-15,-50.0,5406.1,2615.6,2892.8
2021-04-16,0.0,5406.1,2615.6,2885.2
2021-04-17,0.0,5406.1,2615.6,2877.6
2021-04-18,0.0,5406.1,2615.6,2870.2
2021-04-19,0.0,5406.1,2615.6,2862.8
2021-04-20,0.0,5406.1,2615.6,2855.4
2021-04-21,0.0,5406.1,2615.6,2848.0
2021-04-22,0.0,5406.1,2615.6,2840.6
2021-04-23,0.0,5406.1,2615.6,2833.4
2021-04-24,-56.1,5350.0,2503.4,2824.2
2021-04-25,10.0,5360.0,2513.4,2815.1
2021-04-26,0.0,5360.0,2513.4,2806.1
2021-04-27,0.0,5360.0,2513.4,2797.0
2021-04-28,0.0,5360.0,2513.4,2788.0
2021-04-29,0.0,5360.0,2513.4,2778.9
2021-04-30,0.0,5360.0,2513.4,2769.9
2021-05-01,0.0,5360.0,2513.4,2760.8
2021-05-02,-10.0,5350.0,2503.4,2751.6
2021-05-03,-10.0,5340.0,2493.4,2742.2
2021-05-04,-10.0,5330.0,2483.4,2730.5
2021-05-05,-10.0,5320.0,2473.4,2722.7
2021-05-06,0.0,5320.0,2473.4,2714.8
2021-05-07,0.0,5320.0,2473.4,2707.0
2021-05-08,10.0,5330.0,2483.4,2699.3
2021-05-09,0.0,5330.0,2483.4,2691.7
2021-05-10,10.0,5340.0,2493.4,2684.3
2021-05-11,10.0,5350.0,2503.4,2677.0
2021-05-12,10.0,5360.0,2513.4,2670.0
2021-05-13,0.0,5360.0,2513.4,2662.9
2021-05-14,0.0,5360.0,2513.4,2655.9
2021-05-15,-10.0,5350.0,2503.4,2648.6
2021-05-16,0.0,5350.0,2503.4,2641.4
