date,level,yoy,yoy_ma50
2024-01-11,51861.4,505.5,1929.5
2024-01-12,51851.4,380.5,1862.2
2024-01-13,51851.4,250.5,1783.5
2024-01-14,51851.4,250.5,1704.6
2024-01-15,51801.4,200.5,1624.7
2024-01-16,52496.4,741.5,1549.7
2024-01-17,53023.4,764.5,1474.2
2024-01-18,53096.4,322.5,1391.9
2024-01-19,53102.4,-138.5,1300.9
2024-01-20,53102.4,-464.5,1234.9
2024-01-21,53102.4,-464.5,1168.8
2024-01-22,53224.4,-342.5,1105.2
2024-01-23,52929.4,-555.5,1045.9
2024-01-24,52845.4,-434.5,1002.1
2024-01-25,53211.4,86.5,971.2
2024-01-26,53601.4,593.5,953.0
2024-01-27,53601.4,732.5,935.9
2024-01-28,53601.4,510.5,914.3
2024-01-29,53979.4,760.5,897.8
2024-01-30,54077.4,759.5,876.8
2024-01-31,54158.4,670.5,850.0
2024-02-01,53735.4,3418.6,877.7
2024-02-02,53371.4,3455.6,908.1
2024-02-03,53371.4,3751.6,948.4
2024-02-04,53414.4,4016.6,994.8
2024-02-05,54014.4,4744.6,1055.7
2024-02-06,53790.4,4543.6,1113.4
2024-02-07,53642.4,4473.6,1173.6
2024-02-08,53944.4,4289.6,1232.7
2024-02-09,53997.4,3955.6,1285.0
2024-02-10,53997.4,3775.6,1330.3
2024-02-11,53997.4,3775.6,1378.8
2024-02-12,53997.4,3775.6,1427.3
2024-02-13,53997.4,3879.6,1472.1
2024-02-14,53997.4,4181.6,1520.2
2024-02-15,53907.4,4529.6,1573.5
2024-02-16,53849.4,4437.6,1625.0
2024-02-17,53849.4,3805.6,1664.9
2024-02-18,53806.4,3762.6,1707.5
2024-02-19,53738.4,3694.6,1748.7
2024-02-20,53440.4,3172.6,1791.5
2024-02-21,53093.4,2766.6,1829.8
2024-02-22,52896.4,2472.6,1867.6
2024-02-23,53051.4,2814.6,1917.4
2024-02-24,53051.4,3179.6,1975.6
2024-02-25,53051.4,3179.6,2026.2
2024-02-26,53348.4,3476.6,2082.7
2024-02-27,53691.4,3753.6,2145.5
2024-02-28,53966.4,3697.6,2209.5
2024-02-29,54025.4,1728.2,2232.8
2024-03-01,55421.0,3350.8,2289.7
2024-03-02,55421.0,3802.8,2358.1
2024-03-03,55421.0,3802.8,2429.2
2024-03-04,55102.0,3483.8,2493.8
2024-03-05,54728.0,3438.8,2558.6
2024-03-06,54414.0,3602.8,2615.8
2024-03-07,54307.0,3598.8,2672.5
2024-03-08,54307.0,3668.8,2739.4
2024-03-09,54307.0,3671.8,2815.7
2024-03-10,54307.0,3671.8,2898.4
2024-03-11,54307.0,3671.8,2981.1
