date,daily_net,stock,yoy,yoy_ma50
2021-10-11,-90.0,330.0,140.0,-264.6
2021-10-12,-90.0,240.0,90.0,-254.6
2021-10-13,-90.0,150.0,100.0,-242.2
2021-10-14,-90.0,60.0,60.0,-227.4
2021-10-15,0.0,60.0,10.0,-213.4
2021-10-16,-10.0,50.0,-50.0,-202.6
2021-10-17,0.0,50.0,-50.0,-190.8
2021-10-18,0.0,50.0,-50.0,-179.0
2021-10-19,0.0,50.0,-100.0,-169.0
2021-10-20,90.0,140.0,-80.0,-161.0
2021-10-21,90.0,230.0,-70.0,-156.6
2021-10-22,90.0,320.0,20.0,-153.2
2021-10-23,0.0,320.0,0.0,-149.0
2021-10-24,0.0,320.0,0.0,-143.8
2021-10-25,190.0,510.0,190.0,-134.8
2021-10-26,190.0,700.0,430.0,-120.2
2021-10-27,100.0,800.0,500.0,-103.0
2021-10-28,100.0,900.0,560.0,-82.6
2021-10-29,100.0,1000.0,570.0,-60.0
2021-10-30,0.0,1000.0,540.0,-37.6
2021-10-31,0.0,1000.0,540.0,-15.4
2021-11-01,-190.0,810.0,350.0,3.0
2021-11-02,-190.0,620.0,110.0,16.6
2021-11-03,-150.0,470.0,-60.0,26.4
2021-11-04,-150.0,320.0,-210.0,29.8
2021-11-05,-100.0,220.0,-200.0,33.4
2021-11-06,0.0,220.0,-100.0,36.6
