date,btcusd,sp500
2020-07-06,9343.31,3179.719970703125
2020-07-07,9253.94,3145.320068359375
2020-07-08,9435.28,3169.93994140625
2020-07-09,9236.95,3152.050048828125
2020-07-10,9291.05,3185.0400390625
2020-07-11,9235.0,
2020-07-12,9303.37,
2020-07-13,9236.92,3155.219970703125
2020-07-14,9256.94,3197.52001953125
2020-07-15,9190.16,3226.56005859375
2020-07-16,9130.11,3215.570068359375
2020-07-17,9154.29,3224.72998046875
2020-07-18,9175.85,
2020-07-19,9212.87,
2020-07-20,9161.05,3251.840087890625
2020-07-21,9394.14,3257.300048828125
2020-07-22,9536.18,3276.02001953125
2020-07-23,9613.24,3235.659912109375
2020-07-24,9551.21,3215.6298828125
2020-07-25,9711.33,
2020-07-26,9941.0,
2020-07-27,11048.91,3239.409912109375
2020-07-28,10934.23,3218.43994140625
2020-07-29,11110.12,3258.43994140625
2020-07-30,11115.95,3246.219970703125
2020-07-31,11351.62,3271.1201171875
2020-08-01,11810.07,
2020-08-02,11068.54,
2020-08-03,11233.13,3294.610107421875
2020-08-04,11197.04,3306.510009765625
2020-08-05,11756.75,3327.77001953125
2020-08-06,11773.89,3349.159912109375
2020-08-07,11606.52,3351.280029296875
2020-08-08,11774.98,
2020-08-09,11688.48,
2020-08-10,11899.73,3360.469970703125
2020-08-11,11388.53,3333.68994140625
2020-08-12,11566.45,3380.35009765625
2020-08-13,11795.95,3373.429931640625
2020-08-14,11779.0,3372.85009765625
2020-08-15,11859.24,
2020-08-16,11918.84,
2020-08-17,12304.26,3381.989990234375
2020-08-18,11950.0,3389.780029296875
2020-08-19,11758.87,3374.85009765625
2020-08-20,11864.26,3385.510009765625
2020-08-21,11529.22,3397.159912109375
2020-08-22,11672.93,
2020-08-23,11650.01,
2020-08-24,11753.85,3431.280029296875
2020-08-25,11324.92,3443.6201171875
2020-08-26,11463.27,3478.72998046875
2020-08-27,11330.06,3484.550048828125
2020-08-28,11535.0,3508.010009765625
2020-08-29,11474.31,
2020-08-30,11716.01,
2020-08-31,11655.0,3500.31005859375
2020-09-01,11924.22,3526.64990234375
2020-09-02,11395.48,3580.840087890625
2020-09-03,10172.52,3455.06005859375
2020-09-04,10500.05,3426.9599609375
2020-09-05,10168.36,
2020-09-06,10257.86,
2020-09-07,10375.0,
2020-09-08,10125.69,3331.840087890625
2020-09-09,10224.56,3398.9599609375
2020-09-10,10343.23,3339.18994140625
2020-09-11,10394.41,3340.969970703125
2020-09-12,10446.52,
2020-09-13,10336.76,
2020-09-14,10679.95,3383.5400390625
2020-09-15,10783.75,3401.199951171875
2020-09-16,10959.61,3385.489990234375
2020-09-17,10943.61,3357.010009765625
2020-09-18,10937.52,3319.469970703125
2020-09-19,11080.0,
2020-09-20,10920.89,
2020-09-21,10416.82,3281.06005859375
2020-09-22,10531.13,3315.570068359375
2020-09-23,10235.1,3236.919921875
2020-09-24,10740.01,3246.590087890625
2020-09-25,10690.53,3298.4599609375
2020-09-26,10730.0,
2020-09-27,10778.2,
2020-09-28,10695.55,3351.60009765625
2020-09-29,10840.73,3335.469970703125
2020-09-30,10779.63,3363.0
2020-10-01,10617.63,3380.800048828125
2020-10-02,10573.12,3348.419921875
2020-10-03,10551.65,
2020-10-04,10671.11,
2020-10-05,10795.0,3408.60009765625
2020-10-06,10602.66,3360.969970703125
2020-10-07,10670.47,3419.43994140625
2020-10-08,10933.09,3446.830078125
